Sample Index,Raw Value
0,125123
1,130988
2,140749
3,149181
4,149305
5,146801
6,147960
7,147403
8,147437
9,146543
10,144543
11,144438
12,147520
13,151771
14,154687
15,155920
16,155640
17,155218
18,155231
19,156039
20,156688
21,159146
22,162232
23,167660
24,171888
25,177962
26,182828
27,187417
28,192725
29,200360
30,196165
31,186078
32,178997
33,173798
34,171266
35,167632
36,164018
37,161470
38,158720
39,155757
40,152721
41,148021
42,148050
43,149457
44,152150
45,153569
46,155139
47,153959
48,150262
49,149325
50,148076
51,147264
52,147410
53,148133
54,149270
55,149218
56,148523
57,146663
58,146391
59,146445
60,147959
61,148148
62,148403
63,146422
64,142966
65,141398
66,141469
67,142915
68,143107
69,139884
70,139783
71,142267
72,147001
73,154970
74,162545
75,168566
76,174911
77,178250
78,181492
79,182895
80,184596
81,184259
82,179687
83,176870
84,171794
85,168571
86,164759
87,160427
88,154982
89,155929
90,156570
91,156682
92,157330
93,157245
94,158855
95,158359
96,157421
97,156832
98,154653
99,155713
100,155908
101,155619
102,152398
103,149806
104,149796
105,148575
106,152539
107,158350
108,161526
109,158056
110,153288
111,149292
112,147233
113,144962
114,142989
115,142081
116,141193
117,140487
118,139950
119,141033
120,141591
121,141085
122,142329
123,145408
124,149468
125,153772
126,158551
127,164247
128,170891
129,174802
130,179602
131,181811
132,179857
133,173882
134,169861
135,167117
136,162441
137,159373
138,155304
139,152866
140,150917
141,148767
142,146965
143,144471
144,141158
145,138298
146,136900
147,134510
148,132613
149,133307
150,133353
151,133677
152,134696
153,135925
154,136942
155,138550
156,137448
157,137790
158,134592
159,134651
160,141005
161,143789
162,140098
163,138747
164,136071
165,131057
166,132369
167,133018
168,132113
169,130848
170,129343
171,130062
172,129655
173,129942
174,131894
175,138274
176,143049
177,149597
178,154325
179,157050
180,159280
181,161570
182,161417
183,159380
184,154638
185,150898
186,149605
187,155713
188,156171
189,150161
190,145916
191,140771
192,137358
193,134999
194,131782
195,127377
196,124580
197,124588
198,125331
199,124714
200,122742
201,122507
202,122555
203,122472
204,123198
205,121688
206,122561
207,122240
208,124179
209,123672
210,124034
211,125246
212,125237
213,127328
214,126444
215,125373
216,125270
217,126263
218,128394
219,129556
220,131072
221,132916
222,134781
223,136758
224,137535
225,139225
226,143818
227,147965
228,152268
229,157636
230,162243
231,169012
232,173336
233,174810
234,177518
235,176108
236,175589
237,169406
238,165306
239,161483
240,157217
241,153822
242,151859
243,150790
244,144856
245,140098
246,135358
247,132448
248,130926
249,127833
250,125511
251,123887
252,125640
253,126940
254,128829
255,128172
256,129435
257,128262
258,126358
259,127043
260,126387
261,124968
262,127119
263,126023
264,125603
265,129446
266,136326
267,136668
268,133469
269,131450
270,129221
271,125556
272,123206
273,121267
274,120670
275,121684
276,123450
277,125061
278,126257
279,130666
280,135892
281,142365
282,147826
283,153031
284,157277
285,158483
286,159008
287,155904
288,152483
289,148951
290,145007
291,142281
292,140413
293,136400
294,133659
295,131783
296,129322
297,126776
298,125329
299,123781
300,125648
301,125596
302,125306
303,125159
304,125721
305,124140
306,122054
307,123120
308,122205
309,122055
310,120141
311,118257
312,117311
313,116824
314,119007
315,120487
316,121797
317,120210
318,123107
319,131112
320,133421
321,131208
322,126457
323,122555
324,119330
325,118618
326,118381
327,118374
328,120964
329,125138
330,129885
331,135172
332,139223
333,144486
334,150715
335,153838
336,153281
337,151490
338,149158
339,145025
340,140962
341,140243
342,137085
343,135123
344,134884
345,142933
346,146631
347,142815
348,141105
349,139433
350,139047
351,134980
352,134454
353,133871
354,132966
355,130457
356,126151
357,125679
358,124274
359,122441
