Sample Index,Raw Value
0,108011
1,110888
2,112520
3,113930
4,113759
5,116160
6,122101
7,128094
8,134009
9,141899
10,147150
11,150131
12,150912
13,150013
14,148520
15,146675
16,140902
17,138254
18,134214
19,129713
20,125464
21,123808
22,121525
23,115387
24,110528
25,105886
26,103722
27,102095
28,100726
29,99184
30,99645
31,99477
32,95007
33,93355
34,91834
35,91533
36,90628
37,92872
38,94663
39,94273
40,95572
41,96722
42,94997
43,93805
44,94690
45,95621
46,96515
47,96070
48,97747
49,99022
50,102026
51,104954
52,108233
53,111578
54,112449
55,115766
56,118724
57,122613
58,126459
59,130433
60,134878
61,137424
62,140451
63,142470
64,142138
65,140142
66,135701
67,129649
68,123428
69,120007
70,118783
71,116682
72,112452
73,111740
74,110459
75,108558
76,106828
77,103863
78,100903
79,96612
80,96079
81,95101
82,94196
83,89940
84,85486
85,82142
86,80890
87,77549
88,75988
89,78174
90,74682
91,73847
92,73311
93,74755
94,74350
95,74205
96,74016
97,75131
98,78134
99,82200
100,92758
101,100169
102,97378
103,94491
104,94622
105,96661
106,96641
107,97339
108,102466
109,108454
110,111989
111,115324
112,119177
113,121605
114,121764
115,120803
116,118052
117,111829
118,106873
119,102291
120,98122
121,96420
122,92314
123,89848
124,87318
125,86670
126,84547
127,82853
128,79975
129,76301
130,75633
131,75574
132,76910
133,79247
134,80354
135,80438
136,79639
137,80604
138,81133
139,81463
140,81792
141,82974
142,84929
143,84129
144,83243
145,82780
146,81580
147,80622
148,79625
149,78677
150,79375
151,78975
152,84558
153,91372
154,91865
155,87035
156,83308
157,80344
158,79222
159,83389
160,88418
161,94842
162,98915
163,103657
164,108054
165,109518
166,108773
167,109255
168,106803
169,101849
170,97876
171,94533
172,90251
173,86611
174,83124
175,82950
176,84121
177,82664
178,84484
179,91430
180,95708
181,92403
182,89229
183,88480
184,86897
185,85677
186,86969
187,85578
188,83507
189,83509
190,83246
191,82218
192,81584
193,79731
194,78502
195,77320
196,76912
197,75278
198,74358
199,72248
200,71193
201,70663
202,69843
