Sample Index,Raw Value
0,74063
1,79057
2,80569
3,80601
4,83512
5,85614
6,86158
7,87363
8,93596
9,98476
10,104047
11,106796
12,112854
13,116814
14,122267
15,125018
16,125383
17,122126
18,118723
19,113353
20,108040
21,101420
22,96608
23,93917
24,89401
25,87298
26,87372
27,93410
28,101699
29,100376
30,95736
31,94998
32,93340
33,91751
34,93737
35,94162
36,95699
37,95719
38,97263
39,98866
40,98975
41,99661
42,98902
43,98433
44,96673
45,97842
46,99363
47,98276
48,98193
49,98732
50,99536
51,99400
52,99920
53,100095
54,102685
55,104291
56,103847
57,105013
58,107304
59,111082
60,115255
61,117631
62,122309
63,124621
64,127070
65,128607
66,133416
67,134114
68,132203
69,132290
70,128101
71,124063
72,121103
73,116459
74,112973
75,108135
76,103412
77,100610
78,96864
79,93433
80,97261
81,99386
82,97540
83,91861
84,89043
85,85672
86,81606
87,79573
88,79065
89,77962
90,77120
91,78431
92,81875
93,84154
94,84268
95,87552
96,88078
97,85480
98,83481
99,83246
100,83457
101,84106
102,85878
103,87819
104,87951
105,89803
106,92787
107,99073
108,100269
109,96362
110,96572
111,97705
112,103318
113,107605
114,112087
115,118052
116,123566
117,126145
118,126662
119,125448
120,123359
121,119373
122,117175
123,114734
124,113289
125,110867
126,108491
127,105436
128,103502
129,100815
130,101184
131,98402
132,94835
133,95448
134,96252
135,97052
136,94129
137,93798
138,93995
139,91560
140,91858
141,92213
142,90358
143,87550
144,86368
145,84923
146,81485
147,80294
148,80443
149,81389
150,79850
151,77269
152,74720
153,73898
154,75040
155,77592
156,79029
157,79935
158,81469
159,81693
160,84466
161,86043
162,90904
163,96027
164,101198
165,103643
166,106273
167,108469
168,112954
169,116537
170,119015
171,117397
172,115913
173,111424
174,105348
175,103030
176,97634
177,92998
178,88284
179,86937
180,83763
181,82419
182,82784
183,80912
184,81176
185,85391
186,90837
187,90573
188,86228
189,83086
190,82765
191,81260
192,79570
193,79620
194,80859
195,81160
196,77650
197,75797
198,73003
199,71137
200,73165
201,73661
202,73044
203,72411
204,74947
205,75764
206,78396
207,79669
208,79237
209,78486
210,76205
211,74509
212,72158
213,71694
214,72149
215,74099
216,76603
217,79969
218,83522
219,89863
220,97046
221,100414
222,102062
223,100800
224,97845
225,93808
226,91816
227,89842
228,85443
229,84916
230,83890
231,82469
232,80298
233,79589
234,79219
235,78213
236,77397
237,77126
238,76890
239,77700
240,79773
241,80813
242,88693
243,93073
244,89579
245,83280
246,78797
247,73915
248,71719
249,72958
250,74034
251,75543
252,75437
253,80610
254,85587
255,87770
256,90488
257,92163
258,93837
259,93599
260,91376
261,88672
262,87442
263,86087
264,87241
265,97460
266,105043
267,107760
268,110503
269,114790
270,119071
271,119856
272,120368
273,119441
274,118295
275,114343
276,110023
277,106754
278,100618
279,95948
280,94149
281,93219
282,91895
283,88559
284,87666
285,86648
286,82822
287,79482
288,76919
289,76974
290,76961
291,77060
292,77493
293,73813
294,72614
295,72302
296,72637
297,72603
298,72826
299,74052
300,70753
301,70350
302,70386
303,69910
304,72425
305,73094
306,73169
307,73100
308,71862
309,70133
310,71680
311,73353
312,73230
313,72266
314,72885
315,75348
316,79245
317,85186
318,88516
319,91892
320,94484
321,98013
322,99875
323,102776
324,104940
325,105785
326,103017
327,102104
328,100889
329,97693
330,95087
331,91178
332,92396
333,89777
334,88273
335,86678
336,85564
337,82921
338,79984
339,77392
340,76963
341,75617
342,76308
343,79406
344,85504
345,88228
346,87348
347,85322
348,80176
349,76213
350,74688
351,74519
352,75266
353,76819
354,76865
355,76894
356,76624
357,74171
358,74363
359,75175
360,75053
361,75318
362,75310
363,74371
364,74662
365,77300
366,77934
367,79578
368,81419
369,85458
370,89392
371,95165
372,99570
373,102815
374,106381
375,106678
376,104902
377,100907
378,96269
379,92532
380,90940
381,88275
382,85955
383,81651
384,78224
385,75448
386,73813
387,73330
388,74921
389,73398
390,74711
391,73584
392,71847
393,72625
394,74121
395,76120
396,85460
397,89754
398,86577
399,82255
400,77893
401,74721
402,73587
403,73477
404,74033
405,73708
406,73221
407,71643
408,71725
409,73810
410,72501
411,73308
412,74094
