Sample Index,Raw Value
0,74726
1,72734
2,73756
3,73744
4,70921
5,66078
6,70231
7,83430
8,88962
9,97316
10,102365
11,108628
12,123528
13,130790
14,128400
15,124611
16,121956
17,119433
18,117019
19,115017
20,114002
21,112301
22,112205
23,115595
24,120036
25,124083
26,126072
27,126752
28,127956
29,128676
30,131913
31,136626
32,143074
33,150170
34,154883
35,160412
36,165501
37,174481
38,184757
39,190045
40,189376
41,181822
42,176180
43,169700
44,160829
45,155291
46,151725
47,148775
48,144979
49,142616
50,141819
51,139482
52,138454
53,135573
54,133503
55,129428
56,126894
57,124363
58,121673
59,119817
60,120002
61,119737
62,118084
63,115908
64,115625
65,115522
66,116464
67,118379
68,121323
69,121979
70,124445
71,125000
72,123767
73,123925
74,123270
75,121906
76,120828
77,118422
78,117021
79,113760
80,111168
81,113130
82,116084
83,120598
84,127716
85,133637
86,138396
87,141778
88,145703
89,149433
90,150699
91,150339
92,147710
93,142809
94,140485
95,139212
96,136381
97,134873
98,134759
99,134429
100,134978
101,132824
102,130600
103,128187
104,127415
105,124461
106,123044
107,121801
108,121942
109,122753
110,124138
111,124065
112,121557
113,121263
114,119968
115,120790
116,121258
117,125736
118,134464
119,137685
120,131535
121,127724
122,125666
123,123829
124,121509
125,120382
126,119724
127,118899
128,120076
129,120864
130,122531
131,122183
132,122171
133,121267
134,128250
135,135509
136,138786
137,142873
138,145835
139,148503
140,149565
141,150809
142,147756
143,144369
144,138112
145,134332
146,128962
147,126971
148,126157
149,126435
150,126528
151,125369
152,126383
153,125613
154,122433
155,120952
156,120104
157,120104
158,119869
159,120244
160,119596
161,120053
162,119691
163,119668
164,119249
165,116120
166,118354
167,120502
168,124155
169,126982
170,128121
171,130421
172,130637
173,129944
174,129026
175,129501
176,132802
177,133388
178,133240
179,133446
180,135320
181,137606
182,139521
183,143167
184,145513
185,151210
186,157925
187,164363
188,167421
189,169874
190,174143
191,183166
192,185924
193,183135
194,175224
195,167319
196,164906
197,164855
198,161881
199,153284
200,149594
201,144395
202,139930
203,135573
204,132683
205,129774
206,127395
207,125405
208,124642
209,123612
210,123816
211,123556
212,121144
213,121806
214,122188
215,121805
216,122087
217,124587
218,129202
219,131421
220,129628
221,130564
222,131017
223,130973
224,132145
225,133442
226,136983
227,140512
228,140868
229,139397
230,136985
231,137240
232,137515
233,137039
234,136391
235,140365
236,143591
237,150007
238,153421
239,155825
240,158652
241,160062
242,160260
243,159170
244,156380
245,150330
246,144710
247,140416
248,136309
249,131045
250,127863
251,125780
252,123612
253,122837
254,123489
255,123927
256,124424
257,124844
258,123578
259,122378
260,122291
261,122564
262,124551
263,125695
264,124453
265,123225
266,122478
267,118754
268,118876
269,118989
270,121653
271,123269
272,122537
273,122636
274,123634
275,126597
276,133890
277,136716
278,132139
279,130885
280,129562
281,128721
282,128355
283,129888
284,130295
285,131612
286,132791
287,137857
288,143658
289,149724
290,155563
291,160298
292,166279
293,170211
294,177048
295,182155
296,181327
297,178277
298,171666
299,165601
300,158698
301,153619
302,151308
303,148707
304,147349
305,145698
306,140171
307,135795
308,134897
309,134800
310,131927
311,130915
312,131455
313,131485
314,131032
315,130478
316,129557
317,129059
318,126960
319,124853
320,125214
321,123208
322,121033
323,120621
324,119590
325,119754
326,119921
327,120266
328,127019
329,133077
330,134149
331,128283
332,123246
333,120451
334,120613
335,120598
336,121816
337,125098
338,129249
339,135725
340,141352
341,149921
342,156181
343,163776
344,168118
345,172109
346,172711
347,171122
348,165501
349,161134
350,154310
351,150388
352,148926
353,147355
354,150840
355,154918
356,155593
357,152565
358,147773
359,143475
360,140555
361,137103
362,135476
363,133543
364,133380
365,135980
366,136635
367,138671
368,140567
369,140004
370,138887
371,138299
372,135580
373,134370
374,131164
375,129521
376,126517
377,125721
378,124243
379,121648
380,120281
381,121460
382,123365
383,126055
384,127339
385,127703
386,128885
387,127300
388,129586
389,133003
390,139802
391,146372
392,150331
393,155655
394,158684
395,160095
396,163654
397,162829
398,157581
399,153093
400,147731
401,141687
402,137808
403,134913
404,132588
405,130031
406,125833
407,121795
408,118650
409,116678
410,114513
411,108981
412,106502
413,107163
414,108482
415,109066
416,109031
417,107191
418,105202
419,103134
420,104202
421,101831
422,103705
423,104712
424,104321
425,105276
426,104171
427,103829
428,103190
429,102307
430,102154
431,102594
432,103496
433,108342
434,118209
435,125979
436,123212
437,121333
438,118840
439,119488
440,121681
441,127818
442,134646
443,138704
444,140995
445,143980
446,148652
447,152883
448,155442
449,154201
450,154079
451,149623
452,144778
453,140318
454,138214
455,136197
456,134872
457,130384
458,124885
459,120993
460,117219
461,113261
462,113550
463,112569
464,110086
465,108336
466,110037
467,109338
468,109779
469,109613
470,112207
471,112041
472,113233
473,113679
474,111648
475,111817
476,111964
477,111775
478,111296
479,112093
480,114056
481,114910
482,113044
483,113827
484,114601
485,114966
486,118884
487,120130
488,123468
489,127221
490,128457
491,130965
492,133069
493,139056
494,144720
495,150103
496,155230
497,158943
498,167073
499,173007
500,168932
501,162142
502,155311
503,147273
504,143452
505,141325
506,137950
507,135430
508,131327
509,128429
510,127021
511,127573
512,129986
513,131965
514,132329
515,127639
516,125590
517,124240
518,123671
519,120445
520,118386
521,116604
522,115433
523,112957
524,113422
525,112845
526,111520
527,113219
528,114164
529,116610
530,117201
531,117522
532,117970
533,119009
534,119597
535,120203
536,118842
537,119833
538,119055
539,119467
540,119229
541,119827
542,121502
543,124993
544,130976
545,137201
546,142167
547,147678
548,151121
549,152361
550,153442
551,154708
552,154900
553,154160
554,152307
555,149481
556,146653
557,144842
558,144140
559,141397
560,138937
561,137403
562,137267
563,136295
564,135448
565,132772
566,130237
567,128208
568,125990
569,125215
570,126350
571,126240
572,127295
573,126734
574,125608
575,124406
576,122536
577,122603
578,123843
579,121848
580,119124
581,119550
582,119687
583,119900
584,119825
585,121200
586,122182
587,122896
588,123083
589,124501
590,124401
591,125937
592,132447
593,141036
594,140364
595,142297
596,144241
597,148686
598,152614
599,157432
600,159342
601,160734
602,162115
603,163849
604,160247
605,158632
606,152824
607,148055
608,147162
609,145895
610,144920
611,144646
612,143321
613,136754
614,131293
615,129522
616,128436
617,128659
618,129669
619,131382
620,130577
621,131662
622,132452
623,133246
624,132160
625,131404
626,130325
627,130098
628,129249
629,130978
630,130802
631,127696
632,126372
633,125242
634,127555
635,126802
636,127981
637,129238
638,129971
639,130626
640,130897
641,131010
642,132430
643,133223
644,138658
645,150219
646,156350
647,156964
648,153758
649,153396
650,154509
651,156394
652,156675
653,158341
654,155376
655,151282
656,147439
657,146452
658,145563
659,143206
660,141213
661,139273
662,138597
663,137381
664,138028
665,138532
666,139840
667,140833
668,140256
669,139740
670,142151
671,146566
672,149827
673,146942
674,142120
675,135323
676,132509
677,128709
678,126222
679,123805
680,123631
681,122053
682,121390
683,122365
684,119600
685,119229
686,120442
687,121425
688,123178
689,127731
690,131699
691,133842
692,133877
693,133287
694,135500
695,138102
696,139727
697,144029
698,149086
699,155652
700,160686
701,164609
702,166217
703,168891
704,168706
705,166111
706,161731
707,157053
708,149566
709,143787
710,141828
711,138315
712,134157
713,131282
714,128969
715,127206
716,126612
717,125954
718,125157
719,125857
